Geography Type,Geography,Age Range,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),May 28 - June 30,2023,Monthly,32.4,22.3 - 42.5,232,0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),May 28 - June 30,2023,Monthly,14,6.9 - 21.1,187,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),May 28 - June 30,2023,Monthly,22,18.2 - 25.9,970,0
National Estimates,National,12-17 years,Sex,Female,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),May 28 - June 30,2023,Monthly,20.8,16.9 - 24.8,964,0
National Estimates,National,12-17 years,Age,16 � 17 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),May 28 - June 30,2023,Monthly,19.6,15.0 - 24.1,590,0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,54.4,45.7 - 63.1,288,0
National Estimates,National,12-17 years,All children 12 � 17 years,All children 12 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,59.9,57.0 - 62.9,"2,927",0
National Estimates,National,12-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,59.6,55.3 - 63.9,"1,314",0
National Estimates,National,12-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,67,63.3 - 70.7,"1,894",0
National Estimates,National,12-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,67,61.8 - 72.3,862,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,65.7,61.4 - 69.9,"1,451",0
